127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/js/share.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/images/favicon.ico, HTTP/1.1, 200, 0.000345
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/images/twitter.png, HTTP/1.1, 200, 0.000361
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/images/facebook.png, HTTP/1.1, 200, 0.000341
127.0.0.1, 2016-03-05 03:34:54, GET, /miniCourses/static/images/gplus-32.png, HTTP/1.1, 200, 0.000350
127.0.0.1, 2016-03-05 04:02:27, GET, /admin/default/site, HTTP/1.1, 200, 0.041826
127.0.0.1, 2016-03-05 04:02:28, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.676743
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/default/index, HTTP/1.1, 200, 0.042584
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000305
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/js/jquery.js, HTTP/1.1, 200, 0.000323
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/css/calendar.css, HTTP/1.1, 200, 0.000444
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/js/calendar.js, HTTP/1.1, 200, 0.000449
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/js/web2py.js, HTTP/1.1, 200, 0.001566
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/css/web2py.css, HTTP/1.1, 200, 0.000416
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000430
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000470
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000437
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/logo1.png, HTTP/1.1, 200, 0.000441
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/reg.gif, HTTP/1.1, 200, 0.000436
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/or.png, HTTP/1.1, 200, 0.000436
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/login1.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000428
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000422
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/js/share.js, HTTP/1.1, 200, 0.000426
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/twitter.png, HTTP/1.1, 200, 0.000461
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/facebook.png, HTTP/1.1, 200, 0.000417
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/gplus-32.png, HTTP/1.1, 200, 0.000417
127.0.0.1, 2016-03-05 04:02:31, GET, /Posts/static/images/favicon.ico, HTTP/1.1, 200, 0.000458
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/default/index, HTTP/1.1, 200, 0.023977
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/js/jquery.js, HTTP/1.1, 304, 0.000440
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/css/calendar.css, HTTP/1.1, 304, 0.000495
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/js/web2py.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002412
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/js/calendar.js, HTTP/1.1, 304, 0.002722
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/css/web2py.css, HTTP/1.1, 304, 0.000688
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003159
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000859
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002102
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001480
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001048
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/js/share.js, HTTP/1.1, 304, 0.000814
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/images/reg.gif, HTTP/1.1, 304, 0.000819
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/images/or.png, HTTP/1.1, 304, 0.000522
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/images/login1.png, HTTP/1.1, 304, 0.000325
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/images/twitter.png, HTTP/1.1, 304, 0.000333
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/images/facebook.png, HTTP/1.1, 304, 0.000340
127.0.0.1, 2016-03-05 04:02:58, GET, /Posts/static/images/gplus-32.png, HTTP/1.1, 304, 0.000235
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/default/index, HTTP/1.1, 200, 0.025577
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000965
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/js/jquery.js, HTTP/1.1, 304, 0.000604
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/css/calendar.css, HTTP/1.1, 304, 0.000828
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/js/calendar.js, HTTP/1.1, 304, 0.001040
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/js/web2py.js, HTTP/1.1, 304, 0.000960
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001697
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000656
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000641
127.0.0.1, 2016-03-05 04:06:30, GET, /Posts/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001163
